Radius (km),Angle (radians),Delta Latitude,Delta Longitude
3,0.0,0.0,0.02694933524973051
3,2.0943951023931953,0.023496266856162535,-0.013474667624865246
3,4.1887902047863905,-0.02349626685616252,-0.013474667624865263
6,0.7853981633974483,0.038369243105244324,0.03811211540710821
6,2.356194490192345,0.038369243105244324,-0.0381121154071082
6,3.9269908169872414,-0.03836924310524432,-0.03811211540710821
6,5.497787143782138,-0.038369243105244324,0.038112115407108196
12,0.0,0.0,0.10779734099892203
12,1.2566370614359172,0.10321303557384054,0.03331121031709819
12,2.5132741228718345,0.06378916406668546,-0.0872098808165592
12,3.7699111843077517,-0.06378916406668543,-0.08720988081655923
12,5.026548245743669,-0.10321303557384055,0.03331121031709817
